product_name,norm_name,source,deal_count,created_at
"COCONUT SCRAPER SLEEKMATE – 1Pcs","coconut scraper sleekmate – 1pcs","inactive",1,"2026-04-17 10:01:12"
"Coconut Shell Food Container Set","coconut shell food container set","inactive",1,"2026-04-17 10:01:12"
"Coconut Whole Brown Fresh","coconut whole brown fresh","inactive",1,"2026-04-17 10:01:12"
"COFFEE","coffee","inactive",1,"2026-04-17 10:01:12"
"Cojo Cojo - Black Currant 320ml","cojo cojo - black currant 320ml","inactive",1,"2026-04-17 10:01:12"
"Cojo Cojo - Lychee 320ml","cojo cojo - lychee 320ml","inactive",1,"2026-04-17 10:01:12"
"Cojo Cojo - Mango 320ml","cojo cojo - mango 320ml","inactive",1,"2026-04-17 10:01:12"
"Cojo Cojo - Melon 320ml","cojo cojo - melon 320ml","inactive",1,"2026-04-17 10:01:12"
"Cold Laser Therapy Watch","cold laser therapy watch","inactive",1,"2026-04-17 10:01:12"
"COLOR THERAPY Farb- und Pflegelack #380-Positivi Tea 14,7 ml","color therapy farb- und pflegelack #380-positivi tea 14,7 ml","inactive",1,"2026-04-17 10:01:12"
"Colorful Lighting Bluetooth Speaker","colorful lighting bluetooth speaker","inactive",1,"2026-04-17 10:01:12"
"Colorful Silk Waves Durag Headwrap","colorful silk waves durag headwrap","inactive",1,"2026-04-17 10:01:12"
"COLORSTAY brow creator #medium brown 1 u","colorstay brow creator #medium brown 1 u","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | 4 x EVEREST PANEER ~ 250g","combo pack | 4 x everest paneer ~ 250g","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | 777 NANNARI SYRUP – 750ml + TRS TUKMARIA (BASIL SEEDS) – 100g","combo pack | 777 nannari syrup – 750ml + trs tukmaria (basil seeds) – 100g","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | 777 NANNARI SYRUP – 750ml x 2 Pcs","combo pack | 777 nannari syrup – 750ml x 2 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | 777 ROSE SYRUP (SHARBAT) – 750ml x 2 Pcs","combo pack | 777 rose syrup (sharbat) – 750ml x 2 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | AACHI RED CHILLI POWDER – 100g x 3 Pcs","combo pack | aachi red chilli powder – 100g x 3 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | AKSHAYA GROUNDNUT BALLS – 100g x 3 Pcs","combo pack | akshaya groundnut balls – 100g x 3 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | AKSHAYA PEANUT BAR / BURFI – 100g x 3 Pcs","combo pack | akshaya peanut bar / burfi – 100g x 3 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | ANIL FINGER MILLET/RAGI VERMICELLE – 180g x 3 Pcs","combo pack | anil finger millet/ragi vermicelle – 180g x 3 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | ANIL RAGI FLOUR – 1Kg x 2 Pcs","combo pack | anil ragi flour – 1kg x 2 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | ANIL ROASTED RAVA/SEMOLINA – 1Kg x 3 Pcs","combo pack | anil roasted rava/semolina – 1kg x 3 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | ANNACHI COLD PRESSED SESAME/GINGELLY OIL – 1Ltr x 2 Pcs","combo pack | annachi cold pressed sesame/gingelly oil – 1ltr x 2 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | ANNACHI COLD PRESSED SESAME/GINGELLY OIL – 500ml x 2 Pcs","combo pack | annachi cold pressed sesame/gingelly oil – 500ml x 2 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | ANNACHI COLD PRESSED SESAME/GINGELLY OIL – 500ml x 3 Pcs","combo pack | annachi cold pressed sesame/gingelly oil – 500ml x 3 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | ANNACHI TOOR DAL – 1Kg x 3Pcs","combo pack | annachi toor dal – 1kg x 3pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | BRITANNIA GOOD DAY PISTA ALMOND – 75g x 5 Pcs","combo pack | britannia good day pista almond – 75g x 5 pcs","inactive",1,"2026-04-17 10:01:12"
"COMBO PACK | BRITANNIA MARIE GOLD TEA TIME BISCUIT – 154g x 4 Pcs","combo pack | britannia marie gold tea time biscuit – 154g x 4 pcs","inactive",1,"2026-04-17 10:01:12"
